GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.zenwave360.zenwave-code-generator.plugins:jdl-to-openapi,io.zenwave360.generator.plugins,OpenAPIToJDLConfiguration,41,0,4,0,6,0,4,0,2,0
io.github.zenwave360.zenwave-code-generator.plugins:jdl-to-openapi,io.zenwave360.generator.plugins,JDLToOpenAPIConfiguration,41,0,4,0,6,0,4,0,2,0
io.github.zenwave360.zenwave-code-generator.plugins:jdl-to-openapi,io.zenwave360.generator.plugins,OpenAPIToJDLGenerator,10,502,4,42,5,93,5,25,1,6
io.github.zenwave360.zenwave-code-generator.plugins:jdl-to-openapi,io.zenwave360.generator.plugins,JDLToOpenAPIGenerator,21,337,7,11,7,66,7,12,1,9
io.github.zenwave360.zenwave-code-generator.plugins:openapi-spring-webtestclient,io.zenwave360.generator.plugins,SpringWebTestClientGenerator.GroupByType,0,21,0,0,0,2,0,1,0,1
io.github.zenwave360.zenwave-code-generator.plugins:openapi-spring-webtestclient,io.zenwave360.generator.plugins,SpringWebTestClientGenerator,56,258,3,9,8,44,4,11,2,7
io.github.zenwave360.zenwave-code-generator.plugins:openapi-spring-webtestclient,io.zenwave360.generator.plugins,SpringWebTestClientConfiguration,53,0,2,0,8,0,3,0,2,0
io.github.zenwave360.zenwave-code-generator.plugins:asyncapi-jsonschema2pojo,io.zenwave360.generator.plugins,JsonSchema2PojoConfiguration,377,521,11,27,141,142,88,64,78,55
io.github.zenwave360.zenwave-code-generator.plugins:asyncapi-jsonschema2pojo,io.zenwave360.generator.plugins,AsyncApiJsonSchema2PojoGenerator,41,307,8,8,7,60,7,10,1,8
io.github.zenwave360.zenwave-code-generator.plugins:asyncapi-jsonschema2pojo,io.zenwave360.generator.plugins,AsyncApiJsonSchema2PojoConfiguration,4,20,0,0,1,3,1,1,1,1
io.github.zenwave360.zenwave-code-generator.plugins:jdl-backend-application-default,io.zenwave360.generator.plugins,JDLBackendApplicationDefaultConfiguration,5,35,1,1,1,5,1,2,0,2
io.github.zenwave360.zenwave-code-generator.plugins:jdl-backend-application-default,io.zenwave360.generator.plugins,JDLBackendApplicationDefaultJpaHelpers,0,6,0,0,0,3,0,1,0,1
