GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,MapperSupport,19,359,1,33,1,41,1,19,0,3
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,RepositoryIdSupport,0,95,0,6,0,16,0,7,0,4
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,CrudMethodSupport,0,34,0,2,0,6,0,2,0,1
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,LifecycleSupport,14,307,14,40,7,59,14,31,0,18
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,MethodBodyPlan,3,30,0,0,1,11,1,5,1,5
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,ServiceEventPlanner,3,248,7,27,0,53,7,14,0,4
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,MethodBodyCase,0,105,0,0,0,18,0,1,0,1
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.support,ServiceMethodBodyPlanner,58,244,65,95,10,38,52,30,0,2
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.annotators,AnnotationHelper,70,29,5,1,12,5,11,2,8,2
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins.annotators,JSpecifyAnnotator,28,0,2,0,6,0,4,0,3,0
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationDefaultJpaHelpers,87,88,15,7,9,17,9,9,0,7
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationAsyncApiAdaptersGenerator.MappingClassification,0,15,0,0,0,3,0,1,0,1
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationMultiModuleProjectTemplates,0,505,0,0,0,40,0,1,0,1
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationDefaultHelpers,224,1156,27,85,40,208,40,103,17,70
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationDefaultGenerator,0,82,0,2,0,19,0,5,0,4
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationDefaultPlugin,0,38,0,0,0,4,0,2,0,2
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationAsyncApiAdaptersGenerator,95,1249,38,66,15,245,38,46,2,30
io.zenwave360.sdk.plugins:backend-application-default,io.zenwave360.sdk.plugins,BackendApplicationProjectTemplates,15,914,10,36,3,97,9,31,0,17
