GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.utils,ZDLHttpUtils,34,702,27,59,4,123,23,40,1,19
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.utils,ZDLJavaSignatureUtils,127,1221,39,133,18,201,37,84,1,34
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.utils,ZDLFindUtils,113,510,16,26,16,84,17,32,6,22
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,ZDL2JDLProcessor,1,179,1,17,0,34,1,10,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,YamlOverlyMerger,107,79,18,12,28,20,15,6,3,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,AbstractBaseProcessor,0,69,0,8,0,15,0,8,0,4
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,AsyncApiProcessor.SchemaFormatType,56,190,17,3,7,15,13,6,3,6
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,AsyncApiProcessor,21,707,10,66,4,129,10,39,0,11
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,ZDLProcessor,58,778,17,51,7,143,16,31,0,13
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.processors,OpenApiProcessor,2,390,9,35,0,78,9,23,0,10
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.writers,TemplateStdoutWriter,0,48,0,0,0,11,0,5,0,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.writers,TemplateFileWriter,15,103,2,8,4,21,3,10,1,7
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl,GeneratedProjectFiles.TemplateOutputListMap,0,22,1,1,0,5,1,2,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl,GeneratedProjectFiles,0,328,0,0,0,58,0,3,0,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl,ProjectTemplates,27,274,1,7,6,53,3,13,2,10
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,PalantirJavaFormatter,13,143,5,9,3,32,5,8,0,6
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,PalantirImportsOrganizer,13,20,2,0,6,6,2,3,1,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,ImportsOrganizer,26,12,4,0,13,4,3,3,1,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,Formatter.Formatters,0,21,0,0,0,2,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,SpringJavaFormatter,89,96,12,4,20,23,9,6,1,6
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,KotlinFormatter,0,101,0,10,0,23,0,10,0,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,JavaFormatter,8,63,1,3,1,15,1,5,0,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.formatters,GoogleJavaFormatter,77,71,10,4,15,17,8,5,1,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options.asyncapi,AsyncapiVersionType,0,31,0,0,0,4,0,3,0,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options.asyncapi,AsyncapiOperationType,0,53,1,11,0,6,1,7,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options.asyncapi,AsyncapiRoleType,0,15,0,0,0,2,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,LayeredProjectLayout,0,132,0,0,0,45,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,HexagonalProjectLayout,132,0,0,0,45,0,1,0,1,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,CleanArchitectureProjectLayout,132,0,0,0,45,0,1,0,1,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,CleanHexagonalProjectLayout,0,132,0,0,0,45,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,SimpleDomainProjectLayout,0,132,0,0,0,45,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,DefaultProjectLayout,0,3,0,0,0,1,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.zdl.layouts,ProjectLayout,27,319,4,18,8,84,4,13,0,6
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.plugins,ZdlToJsonPlugin,6,39,0,0,2,9,0,2,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options,PersistenceType,15,0,0,0,2,0,1,0,1,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options,ProgrammingStyle,15,0,0,0,2,0,1,0,1,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options,DatabaseType,58,0,4,0,10,0,4,0,2,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.options,WebFlavorType,15,0,0,0,2,0,1,0,1,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,ObjectInstantiatorDeserializationHandler,17,42,4,4,4,9,4,2,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,NamingUtils,23,98,3,7,6,19,6,8,3,6
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,Maps,12,121,1,13,3,28,2,11,1,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,MultiValueMap,18,0,0,0,4,0,3,0,3,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,AntStyleMatcher,21,0,0,0,7,0,2,0,2,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,AsyncAPIUtils,64,126,5,13,13,26,5,9,1,4
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,Lists,3,14,0,0,1,4,1,2,1,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,JSONPath,10,236,8,20,5,54,9,13,1,7
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,FluentMap,50,0,4,0,11,0,6,0,4,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.utils,CommaSeparatedCollectionDeserializationHandler,0,103,2,10,0,19,2,7,0,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk,Help.Format,0,39,0,0,0,2,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk,Main.HelpFormatConverter,0,10,1,3,0,3,1,2,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk,Help,137,604,24,50,33,109,19,32,1,13
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk,Main,34,242,15,33,4,56,11,19,0,6
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk,Plugin,217,414,28,46,51,97,34,44,14,27
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk,MainGenerator,19,260,5,27,3,59,6,16,1,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,TemplateInput,43,63,0,2,13,21,3,13,3,12
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,OutputFormatType,0,45,0,0,0,2,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,HandlebarsEngine,38,237,6,2,7,43,6,8,2,8
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,CustomHandlebarsHelpers,112,490,27,55,21,93,28,46,5,28
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,TemplateOutput,15,94,0,0,5,31,1,10,1,10
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,HandlebarsEngine.FolderTemplateLoader,4,21,1,1,0,4,1,2,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,VisitedHelper,0,60,2,6,0,10,2,5,0,3
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.templating,HandlebarsEngine.new FieldValueResolver() {...},5,9,0,0,1,3,0,2,0,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,Parser.ParseException,4,0,0,0,2,0,1,0,1,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,ZDLParser,5,210,2,16,2,45,3,16,1,9
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,Parser,19,18,1,1,5,2,1,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,Model,0,22,0,0,0,7,0,4,0,4
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,JSONMerger,52,0,6,0,10,0,5,0,2,0
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,Parser.ParseProblemsException,0,6,0,0,0,3,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,GraphQLParser,5,8,0,0,2,3,1,2,1,2
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.parsers,DefaultYamlParser,19,71,1,1,7,19,4,5,3,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,AbstractOpenAPIGenerator.OperationType,0,45,0,0,0,2,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,EntitiesToAvroConverter,38,619,15,67,7,87,16,34,1,8
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,JsonSchemaToJsonFaker,78,503,24,68,16,95,24,39,1,14
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,Generator,14,116,1,15,4,22,1,12,0,5
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,ZDLProjectGenerator,150,797,19,73,17,127,18,38,1,9
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,AbstractZDLGenerator,0,6,0,0,0,2,0,1,0,1
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,AbstractOpenAPIGenerator,58,170,14,18,14,26,12,16,3,9
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,AbstractAsyncapiGenerator.OperationRoleType,5,69,2,10,2,10,3,8,1,4
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,EntitiesToSchemasConverter,60,716,23,83,11,130,22,43,1,11
io.zenwave360.sdk:zenwave-sdk-cli,io.zenwave360.sdk.generators,AbstractAsyncapiGenerator,7,703,13,65,2,123,13,44,0,18
